1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,5
1/30/20,5
1/31/20,7
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,11
2/7/20,11
2/8/20,11
2/9/20,11
2/10/20,11
2/11/20,12
2/12/20,12
2/13/20,13
2/14/20,13
2/15/20,13
2/16/20,13
2/17/20,13
2/18/20,13
2/19/20,13
2/20/20,13
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,51
2/25/20,51
2/26/20,57
2/27/20,58
2/28/20,60
2/29/20,68
3/1/20,74
3/2/20,98
3/3/20,118
3/4/20,149
3/5/20,217
3/6/20,262
3/7/20,402
3/8/20,518
3/9/20,583
3/10/20,932
3/11/20,1281
3/12/20,1663
3/13/20,2179
3/14/20,2727
3/15/20,3499
3/16/20,4632
3/17/20,6421
3/18/20,7783
3/19/20,13677
3/20/20,19100
3/21/20,25489
3/22/20,33272
